bucket,domain,freq,weighted,h,meas
186,A,37,0.048631021517318364863099,1,nrep
186,B,1317,1.498847307886544030008037,1,nrep
186,E,704,13.138503060018501045639280,1,nrep
187,A,35,0.007146935803121962440255,1,nrep
187,B,1210,1.634544815494983669503084,1,nrep
187,E,744,8.922536888959184398382878,1,nrep
188,A,33,0.007814401267911715411198,1,nrep
188,B,1262,0.755687945011628595732720,1,nrep
188,E,815,12.752558611820063401619287,1,nrep
189,A,42,0.041250246821268344359138,1,nrep
189,B,1431,0.314838555333604444795132,1,nrep
189,E,706,11.512986577838355825509905,1,nrep
190,A,59,0.013196681096188908259958,1,nrep
190,B,1326,0.284708431905652382323958,1,nrep
190,E,798,21.682008931305752864069379,1,nrep
191,A,57,0.007350089248546949469071,1,nrep
191,B,1304,0.291720156832753470408785,1,nrep
191,E,847,12.276393857750858344638262,1,nrep
192,A,46,0.013960443301354692152529,1,nrep
192,B,1437,1.008797997153596634756153,1,nrep
192,E,780,18.108643672807880868560423,1,nrep
193,A,49,0.027013177071527152622808,1,nrep
193,B,1409,0.326441304787592735172601,1,nrep
193,E,810,12.735979827175767135152075,1,nrep
194,A,57,0.015966717389036510252706,1,nrep
194,B,1308,1.266407073403148385063882,1,nrep
194,E,842,34.838255535498042197122777,1,nrep
195,A,50,0.017915917401065743761107,1,nrep
195,B,1612,3.400838309708537474691926,1,nrep
195,E,849,21.201878955065534459118151,1,nrep
196,A,49,0.028143520797704272587426,1,nrep
196,B,1622,57.456227498506537298308721,1,nrep
196,E,824,19.789322904076965568560099,1,nrep
197,A,54,0.033982465104699500383186,1,nrep
197,B,1626,1.914855405437263752163533,1,nrep
197,E,875,20.537424107487861398333992,1,nrep
198,A,56,0.013224221299379786029270,1,nrep
198,B,1464,0.308430707011232553089271,1,nrep
198,E,747,7.911499115940899841578725,1,nrep
199,A,54,0.025159673222051551924542,1,nrep
199,B,1492,1.530916239636363147689141,1,nrep
199,E,1059,88.506002107839995469043373,1,nrep
200,A,75,0.021467688193093546283256,1,nrep
200,B,1538,0.795530397303689720013260,1,nrep
200,E,957,32.546271051287804913553147,1,nrep
201,A,59,0.011533080764850780303569,1,nrep
201,B,1731,2.734235088606398800722207,1,nrep
201,E,706,8.739827428128112014583310,1,nrep
202,A,95,0.097602186067498485070408,1,nrep
202,B,2311,2.893707770303784090228097,1,nrep
202,E,1435,36.346913206468774963541650,1,nrep
203,A,13,0.001967583126123691451110,1,nrep
203,B,618,0.116070789010747278626563,1,nrep
203,E,430,1.192764252868800107789344,1,nrep
204,A,86,0.025713034027537458438420,1,nrep
204,B,1900,0.375331512326393309275215,1,nrep
204,E,937,45.364874905841726306080547,1,nrep
205,A,75,0.024806615632485980159791,1,nrep
205,B,1478,0.893326639859026509443679,1,nrep
205,E,1004,31.920644651913485085103508,1,nrep
206,A,81,0.099764421376769604999315,1,nrep
206,B,1973,0.384931636366666157673710,1,nrep
206,E,1169,17.630322908784193657314970,1,nrep
207,A,59,0.057698056056646639624493,1,nrep
207,B,1558,1.503801844446505972794073,1,nrep
207,E,812,13.255699141636684084901355,1,nrep
208,A,64,0.019936803189531817464246,1,nrep
208,B,1780,2.357206263025875354504691,1,nrep
208,E,974,6.387477811267139454648106,1,nrep
209,A,74,0.040538714543077877612324,1,nrep
209,B,1921,7.718395609867977039835147,1,nrep
209,E,1111,29.067833680382238931724806,1,nrep
210,A,77,0.016122705621069582042393,1,nrep
210,B,2003,0.935648293437153425544245,1,nrep
210,E,1248,29.813072310520926265476964,1,nrep
211,A,69,0.096878090864703045292298,1,nrep
211,B,1804,1.037804194559399367761689,1,nrep
211,E,1083,31.154906585473337739055574,1,nrep
212,A,88,0.027107240300561201285955,1,nrep
212,B,1835,1.434283078027946253382097,1,nrep
212,E,1139,10.023216842699083996108679,1,nrep
213,A,70,0.016435672023250295462851,1,nrep
213,B,1987,0.671151224676656892267887,1,nrep
213,E,1175,31.671797933008854111000760,1,nrep
