bucket,multicell,freq,weighted,h,meas
166,f,84,0.110647800618479793726751,1,nrep
166,t,439,12.681587259659945133914261,1,nrep
167,f,63,1.532262985982312991449187,1,nrep
167,t,539,9.657602980245232856370620,1,nrep
168,f,1551,92.893750642979576465294215,1,nrep
168,t,361,3.124371816873510176604392,1,nrep
169,f,88,0.520013207791152380221190,1,nrep
169,t,490,7.864651186747210554405554,1,nrep
170,f,115,1.358663959959367667051098,1,nrep
170,t,414,7.453208027642302382496022,1,nrep
171,f,72,0.069127647409652010376631,1,nrep
171,t,730,50.978868363535568866170371,1,nrep
172,f,69,0.084035726451916318542018,1,nrep
172,t,422,10.711174122149053511644974,1,nrep
173,f,151,5.009552891397375360960333,1,nrep
173,t,452,6.521398748741194251037117,1,nrep
174,f,79,0.011955199250189505154958,1,nrep
174,t,516,10.001152385749820627263864,1,nrep
175,f,1131,66.299594113212888847751695,1,nrep
175,t,566,15.005974658606701999620620,1,nrep
176,f,87,0.134625048176672575133435,1,nrep
176,t,393,5.031136353709525343568133,1,nrep
177,f,83,2.157897965021598233032289,1,nrep
177,t,670,39.388403588295044466758951,1,nrep
178,f,82,1.180015326948615702359344,1,nrep
178,t,533,14.925696765845466875990472,1,nrep
179,f,77,0.010082361049223919735012,1,nrep
179,t,268,0.138967275645278787260562,1,nrep
180,f,217,6.822094578380318948898975,1,nrep
180,t,965,32.162470768411563343311710,1,nrep
181,f,62,0.008878504096099685176991,1,nrep
181,t,278,1.496975295424389287187375,1,nrep
182,f,451,18.932202321051265913717379,1,nrep
182,t,560,13.145095885139647660900495,1,nrep
183,f,111,0.718276328353053108053297,1,nrep
183,t,550,9.171485367478075578921709,1,nrep
184,f,99,0.276245953111879450434804,1,nrep
184,t,636,8.276070120868232588992143,1,nrep
185,f,123,1.490576245130606785760740,1,nrep
185,t,685,49.532823575833948034811009,1,nrep
186,f,113,2.668523013866859250019333,1,nrep
186,t,591,10.469980046151641795619947,1,nrep
187,f,111,0.435540178593360080483256,1,nrep
187,t,633,8.486996710365824317899622,1,nrep
188,f,118,0.389037370399778755395287,1,nrep
188,t,697,12.363521241420284646224000,1,nrep
189,f,139,0.038451943041915216663205,1,nrep
189,t,567,11.474534634796440608846700,1,nrep
190,f,234,7.344776588981848652025156,1,nrep
190,t,564,14.337232342323904212044223,1,nrep
191,f,133,0.903827187533398937919452,1,nrep
191,t,714,11.372566670217459406718810,1,nrep
192,f,123,0.608928607829696706523517,1,nrep
192,t,657,17.499715064978184162036906,1,nrep
193,f,124,4.538107732854259493808164,1,nrep
193,t,686,8.197872094321507641343911,1,nrep
194,f,121,0.044622958039603616460883,1,nrep
194,t,721,34.793632577458438580661894,1,nrep
195,f,165,7.347241701367424865063527,1,nrep
195,t,684,13.854637253698109594054624,1,nrep
196,f,134,1.851290189086375465689259,1,nrep
196,t,690,17.938032714990590102870840,1,nrep
197,f,160,1.777507768133111245864193,1,nrep
197,t,715,18.759916339354750152469799,1,nrep
