accession	tempOptimMin	tempOptimMax	tempMin	tempMax
H5U8W4	30.0	30.0	15.0	50.0
L0EKQ7	45.0	45.0	30.0	45.0
L0EKQ7	45.0	45.0	30.0	45.0
E1XUJ2	35.0	35.0	28.0	40.0
P9WHS7	55.0	55.0	65.0	65.0
P9WHS7	55.0	55.0	50.0	50.0
A8WBX8	50.0	50.0	35.0	60.0
Q9WYS1	60.0	60.0	90.0	90.0
Q9WXX1	85.0	85.0	65.0	95.0
O41078	42.0	42.0	25.0	55.0
O41078	42.0	42.0	25.0	55.0
A0A2W4GVN6	45.0	45.0	20.0	55.0
A0A167KLN5	60.0	60.0	40.0	70.0
A0A0A7RCI7	55.0	55.0	35.0	60.0
A0A0C5VFC0	30.0	30.0	15.0	40.0
Q875I9	55.0	65.0	45.0	75.0
Q7DC81	25.0	30.0	45.0	45.0
O52766	36.0	36.0	28.0	44.0
Q53I75	55.0	55.0	60.0	60.0
Q53I75	55.0	55.0	35.0	35.0
Q5U9W0	60.0	60.0	50.0	90.0
W8CJT2	60.0	60.0	30.0	80.0
Q49422	30.0	45.0	16.0	50.0
P0A814	65.0	65.0	37.0	65.0
A8J0J0	30.0	30.0	20.0	40.0
A0A3G9E319	25.0	25.0	4.0	40.0
O54288	70.0	70.0	70.0	100.0
Q4JC35	70.0	70.0	30.0	60.0
Q4JC35	70.0	70.0	50.0	90.0
Q4JC35	70.0	70.0	60.0	90.0
Q4JC35	99.0	99.0	30.0	60.0
Q4JC35	99.0	99.0	50.0	90.0
Q4JC35	99.0	99.0	60.0	90.0
Q4JC35	90.0	90.0	30.0	60.0
Q4JC35	90.0	90.0	50.0	90.0
Q4JC35	90.0	90.0	60.0	90.0
O54288	60.0	60.0	70.0	100.0
O54288	95.0	95.0	70.0	100.0
Q8TZW4	100.0	100.0	60.0	100.0
Q8ZQM4	30.0	30.0	5.0	60.0
Q57679	80.0	80.0	30.0	90.0
A0A1J4YSL8	30.0	30.0	25.0	37.0
A0A1J4YSL8	30.0	30.0	37.0	37.0
A0A1A9GS29	30.0	30.0	25.0	37.0
A0A1A9GS29	30.0	30.0	37.0	37.0
Q54BM7	37.0	37.0	15.0	40.0
Q1DG84	37.0	37.0	20.0	50.0
A0A228BX09	30.0	30.0	16.0	40.0
A0A228BX09	32.0	37.0	16.0	40.0
E0Y3X1	20.0	40.0	20.0	50.0
F0QXN6	80.0	80.0	70.0	90.0
F0QXN6	80.0	80.0	70.0	90.0
F0QXN6	80.0	80.0	70.0	90.0
F0QXN6	40.0	40.0	70.0	90.0
F0QXN6	40.0	40.0	70.0	90.0
F0QXN6	40.0	40.0	70.0	90.0
P27169	25.0	25.0	25.0	50.0
Q4J6Z8	25.0	25.0	50.0	95.0
Q97VT7	25.0	25.0	10.0	100.0
Q5LRT0	22.0	22.0	10.0	30.0
Q4FP19	22.0	22.0	10.0	30.0
Q5LVM3	22.0	22.0	10.0	30.0
Q9LQ04	30.0	30.0	45.0	45.0
M9UYB0	40.0	40.0	10.0	70.0
M9UYB0	40.0	40.0	10.0	70.0
A0A2P1IUZ5	40.0	40.0	25.0	50.0
A0A2P1IUZ5	30.0	30.0	25.0	50.0
D9Q0R7	25.0	25.0	40.0	90.0
D0EAP3	25.0	25.0	10.0	60.0
D9Q0R7	70.0	70.0	40.0	90.0
E9LK91	37.0	37.0	25.0	80.0
A0A0U1X631	25.0	45.0	25.0	55.0
A3RLW7	55.0	55.0	50.0	90.0
B2NI94	25.0	25.0	5.0	60.0
D7PGW0	16.0	16.0	60.0	60.0
D7PGW0	16.0	16.0	50.0	50.0
T1WUU2	50.0	50.0	10.0	55.0
T1WW77	20.0	20.0	10.0	50.0
T1WW82	30.0	30.0	10.0	45.0
A0A0U1ZF25	30.0	30.0	18.0	60.0
Q59477	55.0	55.0	30.0	55.0
Q59477	55.0	55.0	30.0	65.0
A0A0C1Q6R1	25.0	25.0	25.0	45.0
A0A0C1Q6R1	25.0	25.0	15.0	40.0
Q59477	37.0	37.0	30.0	55.0
Q59477	37.0	37.0	30.0	65.0
A0A0C1Q6R1	37.0	37.0	25.0	45.0
A0A0C1Q6R1	37.0	37.0	15.0	40.0
Q9NRX4	37.0	37.0	23.0	37.0
Q0PY32	30.0	30.0	20.0	35.0
Q6IYF5	50.0	50.0	35.0	52.0
M4GRS1	60.0	60.0	30.0	65.0
C6FJG8	60.0	60.0	37.0	37.0
P9WN65	30.0	30.0	26.0	60.0
Q5CB51	40.0	40.0	30.0	50.0
Q890D8	45.0	45.0	5.0	60.0
Q9AJD6	30.0	30.0	50.0	50.0
Q9AJD6	40.0	40.0	50.0	50.0
D3PZ76	60.0	60.0	40.0	70.0
A0A3G3NI51	60.0	60.0	60.0	65.0
P40406	60.0	60.0	45.0	65.0
A0A0C5CE51	60.0	60.0	30.0	70.0
Q9CFI2	37.0	37.0	20.0	55.0
Q9WZR6	65.0	65.0	50.0	95.0
A0A2P1BRR8	40.0	40.0	20.0	50.0
A0A1L9P8I4	55.0	55.0	40.0	60.0
Q4J8K9	60.0	60.0	3.0	8.0
Q4J8K9	65.0	95.0	3.0	8.0
R4ZGN4	43.0	43.0	35.0	50.0
J9XQS6	45.0	45.0	35.0	50.0
B2NI94	25.0	25.0	5.0	60.0
Q8NKR9	95.0	95.0	37.0	95.0
A0A068FPP9	45.0	45.0	25.0	55.0
P63411	37.0	37.0	35.0	37.0
P0CW04	35.0	35.0	20.0	43.0
G4T0C7	70.0	70.0	30.0	70.0
