accession	tempOptimMin	tempOptimMax	tempMin	tempMax	path
Q9R1E6	37.0	37.0	5.0	60.0	PH/100/10090-7/AF-Q9R1E6-F1-model_v3.json.gz
Q9R1E6	45.0	55.0	5.0	60.0	PH/100/10090-7/AF-Q9R1E6-F1-model_v3.json.gz
Q9WU79	37.0	37.0			PH/100/10090-7/AF-Q9WU79-F1-model_v3.json.gz
Q9WUB3	37.0	37.0			PH/100/10090-7/AF-Q9WUB3-F1-model_v3.json.gz
Q9WV54	37.0	37.0			PH/100/10090-7/AF-Q9WV54-F1-model_v3.json.gz
Q9WVE0	37.0	37.0			PH/100/10090-7/AF-Q9WVE0-F1-model_v3.json.gz
Q9WVM8	59.0	59.0			PH/100/10090-7/AF-Q9WVM8-F1-model_v3.json.gz
Q9WVM8	59.0	59.0			PH/100/10090-7/AF-Q9WVM8-F1-model_v3.json.gz
Q9Z188	30.0	30.0			PH/100/10090-7/AF-Q9Z188-F1-model_v3.json.gz
Q9Z1B3	37.0	37.0			PH/100/10090-7/AF-Q9Z1B3-F1-model_v3.json.gz
Q9Z1X2	37.0	37.0			PH/100/10090-7/AF-Q9Z1X2-F1-model_v3.json.gz
Q9Z2A5	37.0	37.0			PH/100/10090-7/AF-Q9Z2A5-F1-model_v3.json.gz
Q9Z2A7	25.0	25.0			PH/100/10090-7/AF-Q9Z2A7-F1-model_v3.json.gz
Q9Z2L6	37.0	37.0			PH/100/10090-7/AF-Q9Z2L6-F1-model_v3.json.gz
P81428	37.0	37.0			PH/100/100989-0/AF-P81428-F1-model_v3.json.gz
D5HP43	37.0	37.0	20.0	50.0	PH/101/101007-0/AF-D5HP43-F1-model_v3.json.gz
A0A0J9X1M8	30.0	30.0			PH/101/1010840-0/AF-A0A0J9X1M8-F1-model_v3.json.gz
A0A0J9X1M8	30.0	30.0			PH/101/1010840-0/AF-A0A0J9X1M8-F1-model_v3.json.gz
A0A0G2K1W9	25.0	25.0			PH/101/10116-0/AF-A0A0G2K1W9-F1-model_v3.json.gz
B5DFD5	30.0	30.0			PH/101/10116-0/AF-B5DFD5-F1-model_v3.json.gz
D3ZDM7	45.0	45.0			PH/101/10116-0/AF-D3ZDM7-F1-model_v3.json.gz
D3ZUA0	30.0	30.0			PH/101/10116-1/AF-D3ZUA0-F1-model_v3.json.gz
D4A4P4	37.0	37.0			PH/101/10116-1/AF-D4A4P4-F1-model_v3.json.gz
F1M4T7	37.0	37.0			PH/101/10116-1/AF-F1M4T7-F1-model_v3.json.gz
O09175	37.0	37.0			PH/101/10116-2/AF-O09175-F1-model_v3.json.gz
O35186	25.0	37.0			PH/101/10116-2/AF-O35186-F1-model_v3.json.gz
O35244	30.0	30.0			PH/101/10116-2/AF-O35244-F1-model_v3.json.gz
O35303	37.0	37.0			PH/101/10116-2/AF-O35303-F1-model_v3.json.gz
O35776	37.0	37.0			PH/101/10116-2/AF-O35776-F1-model_v3.json.gz
O35795	37.0	37.0			PH/101/10116-2/AF-O35795-F1-model_v3.json.gz
O54857	37.0	37.0			PH/101/10116-2/AF-O54857-F1-model_v3.json.gz
O54939	37.0	37.0			PH/101/10116-2/AF-O54939-F1-model_v3.json.gz
O54939	37.0	37.0			PH/101/10116-2/AF-O54939-F1-model_v3.json.gz
O70177	37.0	37.0			PH/101/10116-2/AF-O70177-F1-model_v3.json.gz
P00388	30.0	37.0			PH/101/10116-2/AF-P00388-F1-model_v3.json.gz
